Time,AccelerometerX,AccelerometerY,AccelerometerZ 
4.382485,-0.628,-9.649,-2.657
4.392383,-0.628,-9.596,-2.728
4.402281,-0.628,-9.624,-2.573
4.412179,-0.628,-9.669,-2.541
4.422077,-0.667,-9.631,-2.535
4.431975,-0.667,-9.571,-2.644
4.441873,-0.745,-9.574,-2.405
4.451771,-0.824,-9.56,-2.482
4.461669,-0.824,-9.567,-2.444
4.471567,-0.863,-9.546,-2.56
4.481484,-0.863,-9.612,-2.412
4.491401,-0.941,-9.658,-2.38
4.501318,-0.981,-9.637,-2.496
4.511235,-1.059,-9.721,-2.471
4.521152,-1.098,-9.735,-2.394
4.531069,-1.098,-9.774,-2.4
4.540986,-1.138,-9.799,-2.485
4.550903,-1.177,-9.833,-2.291
4.56082,-1.216,-9.896,-2.382
4.570737,-1.294,-9.858,-2.375
4.580654,-1.294,-9.871,-2.298
4.590571,-1.334,-9.903,-2.344
4.600488,-1.334,-9.987,-2.319
4.61043,-1.412,-10.014,-2.164
4.620372,-1.412,-10.014,-2.164
4.630314,-1.412,-9.976,-2.157
4.640256,-1.412,-9.962,-2.235
4.650198,-1.491,-9.903,-2.344
4.66014,-1.491,-9.924,-2.228
4.670082,-1.451,-9.871,-2.298
4.680024,-1.451,-9.858,-2.375
4.689966,-1.451,-9.812,-2.407
4.699908,-1.412,-9.755,-2.278
4.70985,-1.412,-9.762,-2.239
4.719792,-1.334,-9.71,-2.31
4.729734,-1.294,-9.671,-2.303
4.739661,-1.334,-9.619,-2.373
4.749588,-1.216,-9.601,-2.251
4.759515,-1.177,-9.633,-2.296
4.769442,-1.138,-9.658,-2.38
4.779369,-1.138,-9.665,-2.341
4.789296,-1.098,-9.665,-2.341
4.799223,-1.098,-9.787,-2.323
4.80915,-1.02,-9.84,-2.253
4.819077,-1.02,-9.865,-2.337
4.829004,-1.059,-9.871,-2.298
4.838931,-1.098,-9.833,-2.291
4.848858,-1.138,-9.885,-2.221
4.858785,-1.177,-9.871,-2.298
4.868712,-1.138,-9.833,-2.291
4.878647,-1.216,-9.78,-2.362
4.888582,-1.138,-9.74,-2.594
4.898517,-1.138,-9.78,-2.362
4.908452,-1.138,-9.749,-2.316
4.918387,-1.098,-9.755,-2.278
